timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect;;;
1,73E+12;209;HTTP;Request;200;OK;Thread;Group;02.jan;text;true;1197;126;23;23;https://ptibeadando.eleshu.hu/;209;0;129;
1,73E+12;216;HTTP;Request;200;OK;Thread;Group;01.jan;text;true;1197;126;22;22;https://ptibeadando.eleshu.hu/;216;0;132;
1,73E+12;199;HTTP;Request;200;OK;Thread;Group;03.jan;text;true;1197;126;22;22;https://ptibeadando.eleshu.hu/;199;0;129;
1,73E+12;204;HTTP;Request;200;OK;Thread;Group;07.jan;text;true;1197;126;23;23;https://ptibeadando.eleshu.hu/;204;0;128;
1,73E+12;214;HTTP;Request;200;OK;Thread;Group;05.jan;text;true;1197;126;23;23;https://ptibeadando.eleshu.hu/;214;0;131;
1,73E+12;208;HTTP;Request;200;OK;Thread;Group;08.jan;text;true;1197;126;23;23;https://ptibeadando.eleshu.hu/;208;0;128;
1,73E+12;243;HTTP;Request;200;OK;Thread;Group;04.jan;text;true;1197;126;23;23;https://ptibeadando.eleshu.hu/;243;0;133;
1,73E+12;238;HTTP;Request;200;OK;Thread;Group;09.jan;text;true;1197;126;25;25;https://ptibeadando.eleshu.hu/;238;0;141;
1,73E+12;227;HTTP;Request;200;OK;Thread;Group;10.jan;text;true;1197;126;25;25;https://ptibeadando.eleshu.hu/;227;0;133;
1,73E+12;254;HTTP;Request;200;OK;Thread;Group;06.jan;text;true;1197;126;23;23;https://ptibeadando.eleshu.hu/;254;0;147;
1,73E+12;236;HTTP;Request;200;OK;Thread;Group;11.jan;text;true;1197;126;24;24;https://ptibeadando.eleshu.hu/;236;0;154;
1,73E+12;239;HTTP;Request;200;OK;Thread;Group;12.jan;text;true;1197;126;24;24;https://ptibeadando.eleshu.hu/;239;0;148;
1,73E+12;253;HTTP;Request;200;OK;Thread;Group;18.jan;text;true;1197;126;31;31;https://ptibeadando.eleshu.hu/;253;0;128;
1,73E+12;272;HTTP;Request;200;OK;Thread;Group;17.jan;text;true;1197;126;31;31;https://ptibeadando.eleshu.hu/;272;0;144;
1,73E+12;304;HTTP;Request;200;OK;Thread;Group;14.jan;text;true;1197;126;30;30;https://ptibeadando.eleshu.hu/;304;0;183;
1,73E+12;376;HTTP;Request;200;OK;Thread;Group;13.jan;text;true;1197;126;37;37;https://ptibeadando.eleshu.hu/;376;0;194;
1,73E+12;318;HTTP;Request;200;OK;Thread;Group;21.jan;text;true;1197;126;36;36;https://ptibeadando.eleshu.hu/;318;0;167;
1,73E+12;334;HTTP;Request;200;OK;Thread;Group;19.jan;text;true;1197;126;36;36;https://ptibeadando.eleshu.hu/;334;0;169;
1,73E+12;360;HTTP;Request;200;OK;Thread;Group;22.jan;text;true;1197;126;40;40;https://ptibeadando.eleshu.hu/;360;0;171;
1,73E+12;327;HTTP;Request;200;OK;Thread;Group;27.jan;text;true;1197;126;40;40;https://ptibeadando.eleshu.hu/;327;0;196;
1,73E+12;320;HTTP;Request;200;OK;Thread;Group;28.jan;text;true;1197;126;40;40;https://ptibeadando.eleshu.hu/;320;0;196;
1,73E+12;316;HTTP;Request;200;OK;Thread;Group;29.jan;text;true;1197;126;39;39;https://ptibeadando.eleshu.hu/;316;0;192;
1,73E+12;441;HTTP;Request;200;OK;Thread;Group;16.jan;text;true;1197;126;38;38;https://ptibeadando.eleshu.hu/;441;0;349;
1,73E+12;342;HTTP;Request;200;OK;Thread;Group;24.jan;text;true;1197;126;37;37;https://ptibeadando.eleshu.hu/;342;0;212;
1,73E+12;381;HTTP;Request;200;OK;Thread;Group;23.jan;text;true;1197;126;36;36;https://ptibeadando.eleshu.hu/;381;0;199;
1,73E+12;339;HTTP;Request;200;OK;Thread;Group;25.jan;text;true;1197;126;35;35;https://ptibeadando.eleshu.hu/;338;0;171;
1,73E+12;405;HTTP;Request;200;OK;Thread;Group;26.jan;text;true;1197;126;40;40;https://ptibeadando.eleshu.hu/;405;0;229;
1,73E+12;396;HTTP;Request;200;OK;Thread;Group;1-33;text;true;1197;126;42;42;https://ptibeadando.eleshu.hu/;396;0;249;
1,73E+12;406;HTTP;Request;200;OK;Thread;Group;1-32;text;true;1197;126;41;41;https://ptibeadando.eleshu.hu/;406;0;239;
1,73E+12;425;HTTP;Request;200;OK;Thread;Group;30.jan;text;true;1197;126;40;40;https://ptibeadando.eleshu.hu/;424;0;251;
1,73E+12;447;HTTP;Request;200;OK;Thread;Group;1-34;text;true;1197;126;43;43;https://ptibeadando.eleshu.hu/;447;0;269;
1,73E+12;519;HTTP;Request;200;OK;Thread;Group;31.jan;text;true;1197;126;47;47;https://ptibeadando.eleshu.hu/;519;0;255;
1,73E+12;673;HTTP;Request;200;OK;Thread;Group;20.jan;text;false;The operation lasted too long: It took 673 milliseconds, but should not have lasted longer than 600 milliseconds.;1197;126;49;49;https://ptibeadando.eleshu.hu/;673;0;329
1,73E+12;521;HTTP;Request;200;OK;Thread;Group;1-35;text;true;1197;126;50;50;https://ptibeadando.eleshu.hu/;521;0;313;
1,73E+12;496;HTTP;Request;200;OK;Thread;Group;1-37;text;true;1197;126;50;50;https://ptibeadando.eleshu.hu/;496;0;287;
1,73E+12;463;HTTP;Request;200;OK;Thread;Group;1-36;text;true;1197;126;49;49;https://ptibeadando.eleshu.hu/;463;0;270;
1,73E+12;466;HTTP;Request;200;OK;Thread;Group;1-48;text;true;1197;126;58;58;https://ptibeadando.eleshu.hu/;466;0;259;
1,73E+12;434;HTTP;Request;200;OK;Thread;Group;1-49;text;true;1197;126;57;57;https://ptibeadando.eleshu.hu/;434;0;257;
1,73E+12;579;HTTP;Request;200;OK;Thread;Group;1-41;text;true;1197;126;60;60;https://ptibeadando.eleshu.hu/;579;0;299;
1,73E+12;630;HTTP;Request;200;OK;Thread;Group;1-38;text;false;The operation lasted too long: It took 630 milliseconds, but should not have lasted longer than 600 milliseconds.;1197;126;60;60;https://ptibeadando.eleshu.hu/;630;0;329
1,73E+12;536;HTTP;Request;200;OK;Thread;Group;1-47;text;true;1197;126;59;59;https://ptibeadando.eleshu.hu/;536;0;264;
1,73E+12;574;HTTP;Request;200;OK;Thread;Group;1-46;text;true;1197;126;58;58;https://ptibeadando.eleshu.hu/;574;0;265;
1,73E+12;529;HTTP;Request;200;OK;Thread;Group;1-56;text;true;1197;126;57;57;https://ptibeadando.eleshu.hu/;528;0;250;
1,73E+12;651;HTTP;Request;200;OK;Thread;Group;1-45;text;false;The operation lasted too long: It took 651 milliseconds, but should not have lasted longer than 600 milliseconds.;1197;126;56;56;https://ptibeadando.eleshu.hu/;651;0;418
1,73E+12;488;HTTP;Request;200;OK;Thread;Group;1-63;text;true;1197;126;55;55;https://ptibeadando.eleshu.hu/;488;0;287;
1,73E+12;579;HTTP;Request;200;OK;Thread;Group;1-59;text;true;1197;126;54;54;https://ptibeadando.eleshu.hu/;578;0;358;
1,73E+12;555;HTTP;Request;200;OK;Thread;Group;1-62;text;true;1197;126;53;53;https://ptibeadando.eleshu.hu/;555;0;281;
1,73E+12;785;HTTP;Request;200;OK;Thread;Group;1-39;text;false;The operation lasted too long: It took 785 milliseconds, but should not have lasted longer than 600 milliseconds.;1197;126;52;52;https://ptibeadando.eleshu.hu/;785;0;521
1,73E+12;742;HTTP;Request;200;OK;Thread;Group;1-44;text;false;The operation lasted too long: It took 742 milliseconds, but should not have lasted longer than 600 milliseconds.;1197;126;51;51;https://ptibeadando.eleshu.hu/;742;0;425
1,73E+12;752;HTTP;Request;200;OK;Thread;Group;1-43;text;false;The operation lasted too long: It took 752 milliseconds, but should not have lasted longer than 600 milliseconds.;1197;126;50;50;https://ptibeadando.eleshu.hu/;752;0;435
1,73E+12;668;HTTP;Request;200;OK;Thread;Group;1-52;text;false;The operation lasted too long: It took 668 milliseconds, but should not have lasted longer than 600 milliseconds.;1197;126;49;49;https://ptibeadando.eleshu.hu/;668;0;291
1,73E+12;660;HTTP;Request;200;OK;Thread;Group;1-53;text;false;The operation lasted too long: It took 660 milliseconds, but should not have lasted longer than 600 milliseconds.;1197;126;48;48;https://ptibeadando.eleshu.hu/;660;0;255
1,73E+12;619;HTTP;Request;200;OK;Thread;Group;1-54;text;false;The operation lasted too long: It took 619 milliseconds, but should not have lasted longer than 600 milliseconds.;1197;126;47;47;https://ptibeadando.eleshu.hu/;619;0;268
1,73E+12;619;HTTP;Request;200;OK;Thread;Group;1-55;text;false;The operation lasted too long: It took 619 milliseconds, but should not have lasted longer than 600 milliseconds.;1197;126;46;46;https://ptibeadando.eleshu.hu/;619;0;180
1,73E+12;765;HTTP;Request;200;OK;Thread;Group;1-42;text;false;The operation lasted too long: It took 765 milliseconds, but should not have lasted longer than 600 milliseconds.;1197;126;45;45;https://ptibeadando.eleshu.hu/;765;0;349
1,73E+12;627;HTTP;Request;200;OK;Thread;Group;1-57;text;false;The operation lasted too long: It took 627 milliseconds, but should not have lasted longer than 600 milliseconds.;1197;126;44;44;https://ptibeadando.eleshu.hu/;627;0;205
1,73E+12;683;HTTP;Request;200;OK;Thread;Group;1-51;text;false;The operation lasted too long: It took 683 milliseconds, but should not have lasted longer than 600 milliseconds.;1197;126;43;43;https://ptibeadando.eleshu.hu/;683;0;293
